,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
0,1,Max Aarons,ENG,DF,Bournemouth,24,2000,12.1,0,1,0,0,0.08,0,0,,23.9,0,0,0,0,0,0.02,0,0,Matches,May
1,2,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,21,2002,4.3,0,1,1,100,0.23,0.23,0,0,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches,April
2,3,Tyler Adams,USA,MF,Bournemouth,25,1999,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,July
3,4,Tosin Adarabioyo,ENG,DF,Fulham,26,1997,16,2,14,5,35.7,0.88,0.31,0.14,0.4,14.2,0,0,0,0.7,0.7,0.05,1.3,1.3,Matches,February
4,5,Elijah Adebayo,ENG,FW,Luton Town,26,1998,12.9,9,28,12,42.9,2.17,0.93,0.32,0.75,9.5,0,0,0,5.6,5.6,0.2,3.4,3.4,Matches,June
5,6,Simon Adingra,CIV,FW,Brighton,22,2002,18.8,6,36,15,41.7,1.92,0.8,0.17,0.4,16.3,0,0,0,3.3,3.3,0.09,2.7,2.7,Matches,May
6,7,Nayef Aguerd,MAR,DF,West Ham,28,1996,19.6,1,14,3,21.4,0.71,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches,August
7,8,Brandon Aguilera,CRC,FW,Nott'ham Forest,20,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,November
8,9,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,22,2002,2.7,0,8,2,25,2.95,0.74,0,0,20,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,August
9,10,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25,1999,23.4,1,16,4,25,0.68,0.17,0.06,0.25,12.5,0,0,0,2.6,2.6,0.16,-1.6,-1.6,Matches,August
10,11,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,13.8,1,7,1,14.3,0.51,0.07,0.14,1,26.8,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches,March
11,12,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,22,2001,21.2,2,20,6,30,0.94,0.28,0.1,0.33,16,0,0,0,3.1,3.1,0.15,-1.1,-1.1,Matches,October
12,13,Kristoffer Ajer,NOR,DF,Brentford,25,1998,17.4,2,9,3,33.3,0.52,0.17,0.22,0.67,9.5,0,0,0,1.1,1.1,0.13,0.9,0.9,Matches,September
13,14,Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,21.1,2,10,4,40,0.47,0.19,0.2,0.5,19.6,0,0,0,0.9,0.9,0.09,1.1,1.1,Matches,December
